species_cd,fofem_cd,tree_type,num_cd
A,POPULUS,hardwood,100
AC,POPULUS,hardwood,101
ACB,POBA,hardwood,102
ACT,POTRI,hardwood,103
AT,POTRA,hardwood,104
AX,POPULUS,hardwood,105
B,ABIES,conifer,106
BA,ABAM,conifer,107
BB,ABBA,conifer,108
BG,ABGR,conifer,109
BL,ABLA,conifer,110
BN,ABPR,conifer,111
C,THUJA,conifer,112
CE,JUVI,conifer,113
CH,THOC,conifer,114
CW,THPL,conifer,115
D,ALSP,hardwood,116
DG,ALVI,hardwood,117
DM,ALTE,hardwood,118
DR,ALRU,hardwood,119
DY,ALRU,hardwood,216
E,BETSPP,hardwood,120
EA,BEPAK,hardwood,121
EB,BENA,hardwood,122
EG,BEPO,hardwood,123
EN,BEGL,hardwood,217
EP,BEPA,hardwood,124
ER,BEOC,hardwood,125
ES,BEAL,hardwood,126
EW,BEOC2,hardwood,127
EWT,BEPA,hardwood,128
EY,BEAL2,hardwood,129
EX,BETSPP,hardwood,130
EXP,BETSPP,hardwood,131
EXW,BETSPP,hardwood,132
F,FRASPP,hardwood,133
FB,FRNI,hardwood,134
FR,FRPE,hardwood,135
FW,FRAM2,hardwood,136
FD,PSME,conifer,137
FDC,PSME,conifer,138
FDI,PSME,conifer,139
G,CORNUS,hardwood,140
GP,COFL,hardwood,141
GR,COSE,hardwood,142
H,TSUGA,conifer,143
HM,TSME,conifer,144
HW,TSHE,conifer,145
HX,TSUGA,conifer,146
HXM,TSUGA,conifer,147
H1,CARYA,hardwood,148
H1B,CACO,hardwood,149
J,JUNIPERUS,conifer,150
JD,,shrub,151
JH,,shrub,152
JR,JUSC,conifer,153
L,LARIX,conifer,154
LA,LALY,conifer,155
LS,LASI,conifer,156
LT,LALA,conifer,157
LW,LAOC,conifer,158
M,ACER,hardwood,159
MB,ACMA,hardwood,160
MR,ACGL,hardwood,161
MRD,ACRU,hardwood,162
MS,ACSA,hardwood,163
MV,ACCI,hardwood,164
P,PINSPP,conifer,165
PA,PIAL,conifer,166
PF,PIFL,conifer,167
PJ,PIBA,conifer,168
PL,PICO,conifer,169
PLC,PICO,conifer,170
PLI,PICO,conifer,171
PP,PIRI,conifer,172
PR,PIRE,conifer,173
PW,PIMO,conifer,174
PE,PIST,conifer,175
PX,PICO,conifer,176
PXJ,PICO,conifer,177
PY,PIPO,conifer,178
Q,QUESPP,hardwood,179
QG,QUGA,hardwood,180
QR,QURU,hardwood,181
QW,QUAL,hardwood,182
RA,ARME,hardwood,183
S,PICSPP,conifer,184
SA,PIAB,conifer,185
SB,PIMA,conifer,186
SE,PIEN,conifer,187
SR,PIRU,conifer,188
SS,PISI,conifer,189
SW,PIGL,conifer,190
SX,PILU,conifer,191
SXB,PICSPP,conifer,192
SXE,PICSPP,conifer,193
SXL,PICSPP,conifer,194
SXS,PICSPP,conifer,195
SXW,PIEN,conifer,196
SXX,PIEN,conifer,197
T,TAXUS,conifer,198
TW,TABR,conifer,199
UP,MACO,hardwood,200
V,PRUSPP,hardwood,201
VB,PREM,hardwood,202
VL,PRSE,hardwood,203
VP,PRPE,hardwood,204
VW,PRVI,hardwood,205
W,SALIX,hardwood,206
WA,SABA,hardwood,207
WB,SABE,hardwood,208
WD,SACI,hardwood,209
WS,SASC,hardwood,210
WT,SAPL,hardwood,211
XC,UNKSOFT,conifer,212
XH,UNKHARD,hardwood,213
Y,CYPRESS,conifer,214
YC,CANO,conifer,215
ZC,OTHSOFT,conifer,997
ZH,OTHHARD,hardwood,998
UNK,UNK,conifer,999
